key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
DISEASE_DEFINITION_CAUSE,查询疾病或医学术语的定义、病因与传染性,助手头部1k,助手语音1k,21,21,958,1000,2.192,2.1,-0.092,-1.438,1.232,False,共有
DISEASE_SYMPTOM_LIST,查询疾病的症状与早期征兆,助手头部1k,助手语音1k,54,18,958,1000,5.637,1.8,-3.837,-5.609,-2.187,True,共有
DOSAGE_USAGE,查询药品用法用量与服用时机,助手头部1k,助手语音1k,3,14,958,1000,0.313,1.4,1.087,0.261,2.046,True,共有
DRUG_EFFICACY_LOOKUP,查询药品的功效与作用,助手头部1k,助手语音1k,34,39,958,1000,3.549,3.9,0.351,-1.365,2.06,False,共有
EPISODE_TRIAGE,对正在发生的具体不适做分诊与处置判断,助手头部1k,助手语音1k,2,16,958,1000,0.209,1.6,1.391,0.568,2.386,True,共有
FEASIBILITY_CLAIM_VERDICT,对具体行为、搭配或说法给出是否可行的裁决,助手头部1k,助手语音1k,30,260,958,1000,3.132,26.0,22.868,19.939,25.825,True,共有
FOOD_THERAPY_PREPARATION,获取食疗/养生方的做法与搭配,助手头部1k,助手语音1k,4,6,958,1000,0.418,0.6,0.182,-0.545,0.93,False,共有
HERB_FOOD_EFFICACY_LOOKUP,查询中药材/食材/茶饮的功效与作用,助手头部1k,助手语音1k,157,81,958,1000,16.388,8.1,-8.288,-11.203,-5.403,True,共有
NORMAL_RANGE_LOOKUP,查询指标的正常值或参考范围,助手头部1k,助手语音1k,13,4,958,1000,1.357,0.4,-0.957,-1.939,-0.117,True,共有
OPTION_ADJUDICATION,在两个或几个选项之间给出裁决,助手头部1k,助手语音1k,3,33,958,1000,0.313,3.3,2.987,1.869,4.301,True,共有
OUT_OF_DOMAIN_OR_UNCLASSIFIABLE,处理非健康或无法归入上述意图的残余,助手头部1k,助手语音1k,170,147,958,1000,17.745,14.7,-3.045,-6.321,0.221,False,共有
PERSONAL_RESULT_INTERPRETATION,解读用户本人的检查数值或报告分级,助手头部1k,助手语音1k,15,36,958,1000,1.566,3.6,2.034,0.627,3.512,True,共有
PROGNOSIS_SEVERITY,评估疾病的严重程度、预后或时间预期,助手头部1k,助手语音1k,8,10,958,1000,0.835,1.0,0.165,-0.759,1.092,False,共有
SYMPTOM_CAUSE_EXPLANATION,解释自身症状的原因,助手头部1k,助手语音1k,48,112,958,1000,5.01,11.2,6.19,3.795,8.618,True,共有
SYMPTOM_TO_PRODUCT,由自述症状直接索取药品或药膏,助手头部1k,助手语音1k,8,8,958,1000,0.835,0.8,-0.035,-0.931,0.838,False,共有
TCM_THEORY_AND_FORMULAS,查询中医方剂组成、经络穴位与中医理论,助手头部1k,助手语音1k,6,7,958,1000,0.626,0.7,0.074,-0.743,0.886,False,共有
TREATMENT_SEEKING,寻找疾病的治疗或缓解方案,助手头部1k,助手语音1k,79,61,958,1000,8.246,6.1,-2.146,-4.472,0.144,False,共有
BARE_ENTITY_LOOKUP,仅给出名称的裸实体查询,助手随机1k,助手语音1k,40,84,998,1000,4.008,8.4,4.392,2.29,6.548,True,共有
CARE_LOGISTICS_COST_DURATION,查询诊疗项目的费用、时长与恢复参数,助手随机1k,助手语音1k,38,12,998,1000,3.808,1.2,-2.608,-4.075,-1.256,True,共有
CARE_ROUTING_AND_NAVIGATION,查询就医科室、医院/医生导航与挂号入口,助手随机1k,助手语音1k,42,31,998,1000,4.208,3.1,-1.108,-2.803,0.556,False,共有
DISEASE_DEFINITION_CAUSE,查询疾病或医学术语的定义、病因与传染性,助手随机1k,助手语音1k,25,21,998,1000,2.505,2.1,-0.405,-1.777,0.948,False,共有
DISEASE_SYMPTOM_LIST,查询疾病的症状与早期征兆,助手随机1k,助手语音1k,18,18,998,1000,1.804,1.8,-0.004,-1.226,1.217,False,共有
DOSAGE_USAGE,查询药品用法用量与服用时机,助手随机1k,助手语音1k,22,14,998,1000,2.204,1.4,-0.804,-2.05,0.392,False,共有
DRUG_EFFICACY_LOOKUP,查询药品的功效与作用,助手随机1k,助手语音1k,32,39,998,1000,3.206,3.9,0.694,-0.956,2.361,False,共有
EPISODE_TRIAGE,对正在发生的具体不适做分诊与处置判断,助手随机1k,助手语音1k,47,16,998,1000,4.709,1.6,-3.109,-4.727,-1.597,True,共有
FEASIBILITY_CLAIM_VERDICT,对具体行为、搭配或说法给出是否可行的裁决,助手随机1k,助手语音1k,188,260,998,1000,18.838,26.0,7.162,3.508,10.794,True,共有
FOOD_THERAPY_PREPARATION,获取食疗/养生方的做法与搭配,助手随机1k,助手语音1k,12,6,998,1000,1.202,0.6,-0.602,-1.547,0.268,False,共有
HERB_FOOD_EFFICACY_LOOKUP,查询中药材/食材/茶饮的功效与作用,助手随机1k,助手语音1k,42,81,998,1000,4.208,8.1,3.892,1.793,6.039,True,共有
NORMAL_RANGE_LOOKUP,查询指标的正常值或参考范围,助手随机1k,助手语音1k,7,4,998,1000,0.701,0.4,-0.301,-1.08,0.42,False,共有
OPTION_ADJUDICATION,在两个或几个选项之间给出裁决,助手随机1k,助手语音1k,25,33,998,1000,2.505,3.3,0.795,-0.704,2.321,False,共有
OUT_OF_DOMAIN_OR_UNCLASSIFIABLE,处理非健康或无法归入上述意图的残余,助手随机1k,助手语音1k,195,147,998,1000,19.539,14.7,-4.839,-8.136,-1.536,True,共有
PERSONAL_RESULT_INTERPRETATION,解读用户本人的检查数值或报告分级,助手随机1k,助手语音1k,58,36,998,1000,5.812,3.6,-2.212,-4.116,-0.35,True,共有
PROGNOSIS_SEVERITY,评估疾病的严重程度、预后或时间预期,助手随机1k,助手语音1k,27,10,998,1000,2.705,1.0,-1.705,-2.991,-0.524,True,共有
SYMPTOM_CAUSE_EXPLANATION,解释自身症状的原因,助手随机1k,助手语音1k,87,112,998,1000,8.717,11.2,2.483,-0.149,5.124,False,共有
SYMPTOM_TO_PRODUCT,由自述症状直接索取药品或药膏,助手随机1k,助手语音1k,6,8,998,1000,0.601,0.8,0.199,-0.608,1.035,False,共有
TCM_THEORY_AND_FORMULAS,查询中医方剂组成、经络穴位与中医理论,助手随机1k,助手语音1k,9,7,998,1000,0.902,0.7,-0.202,-1.082,0.651,False,共有
TREATMENT_SEEKING,寻找疾病的治疗或缓解方案,助手随机1k,助手语音1k,78,61,998,1000,7.816,6.1,-1.716,-3.975,0.526,False,共有
