sid,query,code
d000594,37度是低烧还是正常,QK
d000595,37度是发烧吗,QK
d000596,37度浑身酸痛乏力,NK_HX
d000597,37度算发烧不,QK
d000598,37的功效,YP_GENERIC
d000599,37粉的功效,YP_GENERIC
d000600,38.2度发烧吃了退烧药怎么办,NK_HX
d000601,38.5以上可以拿酒精到温水擦身体吗为什么,NK_HX
d000602,"38.5算是高烧吗,需要吃退烧药吗",NK_HX
d000603,380斤大胖子爱犯困,NK_NF
d000604,38℃算发烧吗,NK_HX
d000605,38养水破了24小时生对婴儿什么影响,FCK_CK
d000606,"38周做彩超时老公说他看到是儿子,会不会是他看错了",FCK_CK
d000607,"38岁,头发没白,怎么下阴长几根白毛",PF
d000608,38岁同房干涩没水应那种润滑液没副作用,FCK_FK
d000609,38岁头胎风险多大,FCK_CK
d000610,38岁男了两只眼睛眼角总是红离开是什么原因,YK
d000611,38岁男有一根眉毛特别长是什么原因,PF
d000612,38度1算高烧还是低烧,NK_HX
d000613,38度发烧吃退药多久见效,NK_HX
d000614,39 6孕妇分泌多是怎么回事,FCK_CK
d000615,390千卡运动量算大吗,YS
d000616,39周加3拉完肚子疼是咋回事,FCK_CK
d000617,39周头围33cm有多大,FCK_CK
d000618,"39岁女,喝水老是把自己呛到怎么回事",EB
d000619,39岁男一旦有了糖尿病能活多久,NK_NF
d000620,39度持续发烧会伤脑吗？,NK_HX
d000621,39感冒灵能和蓝芩,NK_HX
d000622,39胃泰的作用,NK_XH
d000623,3个多月做人流还是引产,FCK_CK
d000624,3个多月的肚子有多大,FCK_CK
d000625,3个月宝宝ad和d3可以一起吃吗,EK
d000626,3个月男婴儿小鸡红肿怎么办,EK
d000627,3个月的宝宝每天拉5.6次怎么办,EK
d000628,3个胆红素都高怎么回事,NK_XH
d000629,3号来月经6号排完9号干净几号排卵,FCK_FK
d000630,3周岁的小孩发烧37.5,EK
d000631,3岁8个月宝宝总喊累怎么回事,EK
d000632,3岁eb病毒阳性鼻炎怎么治疗,EK
d000633,"3岁′八个月宝宝身高,体重,标准是多少",EK
d000634,3岁儿童发热 呕吐,EK
d000635,3岁儿童病毒引起的发烧好了以后还会发烧吗?,EK
d000636,"3岁半的宝宝去幼儿园上学第三个星期哭闹严重,不吃还拒绝集体活动",EK
d000637,"3岁半的宝宝眼睛一边正常,一边近视150度,怎么办?",EK
d000638,3岁多儿童吃饭老爱便秘想选择一款儿童成长奶粉给他喝,EK
d000639,"3岁多头孢吃饭两个小时,可以喝免疫球蛋白调制乳粉吗",EK
d000640,"3岁孩子爱吃肉,好吗?",EK
d000641,3岁孩子缝针多少钱?,EK
d000642,3岁宝宝右颈部有个淋巴结正常吗,EK
d000643,3岁宝宝吐了是什么原因引起的,EK
d000644,3岁宝宝头围标准参考表,EK
d000645,3岁宝宝小腿老是痒抓到裂,EK
d000646,3岁宝宝睡觉老是咽口水,EK
d000647,3岁小女孩阴道旁边有点破皮擦什么好,EK
d000648,3岁小孩干咳无痰最有效的办法,EK
d000649,3岁幼儿便秘怎么调理,EK
d000650,3岁结膜炎怎么治疗好得快呢,EK
d000651,3年吃了25颗急性避孕药 会引起不孕不?,FCK_SZ
d000652,3月份就同房出血了+9月份才去检查,FCK_FK
d000653,3架流感针,JY
d000654,3种豆煮水祛湿法,YS
d000655,3餐吃饭时间,YS
d000656,4.2视力相当于多少度,YK
d000657,4.3号末次月经现在7 .1多少周,FCK_CK
d000658,4.5度近视多少度,YK
d000659,4.78E 07乙肝DNA定量,GR
d000660,4.8的视力是多少度,YK
d000661,40.3打了两天退烧针，还是发烧,JZ
d000662,4050的好处和坏处,FYL
d000663,40周龄的孕妇爱滋病毒太高婴儿出生后服用三种抗爱滋病毒的药20天了为啥医生没,FCK_CK
d000664,40多岁女性为什么肚子一受凉就肚子疼拉肚子,NK_XH
d000665,40多岁时吃二甲双胍反应不大现在吃了十多年随着年龄的增加现在胃肠道消化不良,NK_NF
d000666,40多岁牙龈萎缩是什么原因,KQ
d000667,40岁先天性心脏病能活多久,WK_XX
d000668,40岁可以吃毓婷紧急避孕药吗,FCK_FK
d000669,40岁吃什么降压药,NK_XX
d000670,40岁女人吃榴莲好吗,YS
d000671,40岁女人提高代谢吃什么药,YP_GENERIC
d000672,40岁女性一个月几次性生活算正常,FCK_FK
d000673,40岁女性晚饭应该吃什么,YS
d000674,40岁女性最近感觉胸口不舒服,NK_XX
d000675,40岁心率85次,NK_XX
d000676,40岁成年男性血压正常范围是多少,NK_XX
d000677,40岁手上长斑要警惕,PF
d000678,40岁有白头发是什么原因,PF
d000679,40岁的女人吃什么保健品好,YS
d000680,40岁的女人腿早上老是抽筋是怎么回事,QK
d000681,40岁的女性需要做哪些检查,YS
d000682,40岁睡觉时自动出精什么原因,NANKE
d000683,40岁还是处女有什么危害吗,FCK_FK
d000684,40毫克的泮托拉唑可以掰开吃吗,NK_XH
d000685,"40毫克非布司他一天一粒后,尿酸还在480至500之间,怎么办",NK_FS
d000686,416医院贺丹,JY
d000687,41岁不来例假还有必要䃼䧳激素吗,FCK_FK
d000688,41岁男人一晚拉三次肚子怎么了,NK_XH
d000689,42岁了来月经肚子疼怎么回事,FCK_FK
d000690,42岁男人脸上长痤疮正常吗,PF
d000691,42岁男血压高会性功能下降吗,NK_XX
d000692,42岁血糖高怎么办,NK_NF
d000693,43周岁自然受孕几率多大啊,FCK_SZ
d000694,43天婴儿不爱喝奶+喝了就吐,EK
d000695,43岁和老公同房戴套了怀孕的几率大吗,FCK_FK
d000696,43岁天天掉头发正常吗,PF
d000697,43岁女人腰围74,YS
d000698,43岁女右边宽的位置不舒服,QK
d000699,43岁更年期怎么缓解,FCK_FK
d000700,43岁脑动脉硬化正常吗,NK_SJ
d000701,43岁高龄怎样养好卵子,FCK_SZ
d000702,"44岁月经提前半个月,颜色不正常",FCK_FK
d000703,44岁月经连续两个月推迟15天是不是要绝经了,FCK_FK
d000704,"45%的恶性肿瘤可以治愈,其中手术、放疗、治疗的比例是",ZL
d000705,45两兆头左耳廓中间疼疼怎么办,EB
d000706,45天人流算生命吗,FYL
d000707,45天看到胎芽胎心了,FCK_CK
d000708,"45岁不来月经正常吗,需要治疗吗",FCK_FK
d000709,45岁女人每天晒太阳30分钟有什么好处,YS
d000710,45岁女怎么判断没有排软,FCK_SZ
d000711,45岁女性每天早晨一个海参2个鸡蛋好吗,YS
d000712,45岁女生，尿道一直想尿尿是怎么回事,WK_MN
d000713,45岁女的有高血压怎么从140减到120斤,YS
d000714,45岁戴节育环经期延长10天正常吗,FCK_FK
d000715,45岁有高血压生二胎可以吗,FCK_CK
d000716,45岁男必查项目清单,YS
d000717,45岁老阿姨喷了三次尿素乳膏,WFPD
d000718,45岁耳朵后边长了个肉球是怎么回事一摁就疼,EB
d000719,45岁能做试管婴儿吗,FCK_SZ
d000720,45岁血压正常范围,NK_XX
d000721,45岁还能做试管吗?,FCK_SZ
d000722,45度的纯净水能给宝宝冲奶粉吗,EK
d000723,463医院联系电话,JY
d000724,46天会有胎心了吗,FCK_CK
d000725,46岁女性误服左炔诺孕酮片怎么办？,JZ
d000726,46岁月经35天没来了,FCK_FK
d000727,46岁男人一月一次性生活正常吗?,NANKE
d000728,"46岁男人脂肪肝 肝弹12.6,但肝纤三项正常",NK_XH
d000729,46岁男人高血压吃烟喝酒对性功能有伤害吗,NK_XX
d000730,46岁男性性生活后右侧腰部隐隐钝痛,WK_MN
d000731,470.3病毒量肝功能正常需要治疗吗,GR
d000732,"47岁,有时做收紧阴道的缎练就会有血丝出来",FCK_FK
d000733,"47岁女,这个月没来月经,胸憋,没有白带,腿无力,犯困",FCK_FK
d000734,47岁女人眼睛模糊看不清是怎么回事,YK
d000735,47岁女人还能怀孕吗,FCK_SZ
d000736,"47岁月经不规律,这个月流了十几天的褐色分泌物是不是要绝经了?",FCK_FK
d000737,47岁男人扛50公斤上5楼不休息体能怎么,YS
d000738,47岁男人精液是灰白色正常吗,NANKE
d000739,"47岁眼睛模糊,看远一点,看不清人脸。",YK
d000740,47岁绝经一年后又出血还长痘痘了,FCK_FK
d000741,47岁运动心率正常值是多少,NK_XX
d000742,47岁高压94低压58心率75,NK_XX
d000743,48岁了月经推迟不来什么原因,FCK_FK
d000744,48岁女人血压135/92属于高血压吗,NK_XX
d000745,48岁月经结束后几天又出血怎么回事,FCK_FK
d000746,"48岁男,肚子一阵疼然后一会又不疼",NK_XH
d000747,48岁男冠状动脉钙化正常吗,NK_XX
d000748,48岁男性正常血压,NK_XX
d000749,49岁怀孕需要做什么检查,FCK_CK
d000750,49岁月经一直不干净怎么办？,FCK_FK
d000751,49岁月经一直不断有时候扩多了有时候嗯过就一点点一直滴滴拉拉的这是什么原因,FCK_FK
d000752,49岁缺钙怎么补效果好,YS
d000753,49岁行房后有血怎么回事,FCK_FK
d000754,4·8的视力是多少度,YK
d000755,4个半月宝宝雾化做几分钟,EK
d000756,4个月做3次ct对身体有害吗?,JC
d000757,4个月前血常规合格还能得白血病吗,NK_XY
d000758,4个月婴儿大便白细胞多跟母亲饮食有关系吗,EK
d000759,4个月孩子哭的声音嘶哑能恢复吗,EK
d000760,4价流感疫苗说明书完整版,YP_GENERIC
d000761,4公里跑步需要几分钟,YS
d000762,4天不来月经是怎么回事,FCK_FK
d000763,4岁半宝宝长水痘怎么办,EK
d000764,4岁女孩内裤有血迹挂什么科,EK
d000765,"4岁孩子肠道不舒服,拉的稀可以喝霍香正气液吗",EK
d000766,4岁宝宝吃脊灰糖丸需要空腹吗,EK
d000767,4岁宝宝腮帮子有个白点怎么回事,EK
d000768,4岁小孩发烧三天了一直反复怎么办,EK
d000769,4岁小孩地中海贫血怎么办,EK
d000770,4岁小孩头上爱出汗是什么原因,EK
d000771,4岁小孩小鸡鸡大,EK
d000772,4岁小孩睡觉后背出汗多是什么原因,EK
d000773,4岁小孩老是走没多久就说累了然后会走路东倒西歪,EK
d000774,4岁男孩鼻炎怎么调理,EK
d000775,4岁男宝老是揪自己的舌头怎么回事,EK
d000776,4岁的糖第二针疫苗叫什么灰,EK
d000777,4点半开始喝清肠药液，多久喝西甲硅油乳剂,NK_XH
d000778,5.7x3.7mm是多大囊肿需要手术吗,QK
d000779,50%葡萄糖注射液,YP_GENERIC
d000780,50-60岁血压正常范围舒展压50正常吗,NK_XX
d000781,50-60岁血糖多少正常,NK_NF
d000782,50-60岁血糖表,NK_NF
d000783,50公斤健身女性每次吃多少牛肉,YS
d000784,50周岁取了曼月乐环后还会来月经吗,FCK_FK
d000785,50周岁还能怀孕吗,FCK_SZ
d000786,50多岁乳房有点发胀怎回事,WK_PW
d000787,50多岁女人喝红茶好还是绿茶好,YS
d000788,50多岁的人养生适合喝什么茶,YS
d000789,50天做了人流喝酒会怎样,FCK_FK
d000790,50岁40天来一次月经量多还有大血块流出,FCK_FK
d000791,50岁了吃饭吃饱得好还是吃半饱好,YS
d000792,50岁以上心脉正常数值,NK_XX
d000793,50岁出现幻听是什么原因,JS
d000794,50岁女人做脑电图有什么影响,JC
d000795,"50岁女人四个月前查出腺肌症和一个卵巢囊肿,四个月后复查又查出一个囊肿用治",FCK_FK
d000796,50岁女人每天喝多少豆浆为好,YS
d000797,50岁女人膝盖下方腿的外侧出现红点不疼不痒怎么回事,PF
d000798,50岁女性腹围正常范围是多少,YS
d000799,50岁女性阴道颜色发紫是怎么回事,FCK_FK
d000840,56克蛋白质是几个鸡蛋,YS
d000841,56岁女性左手晚上有肿胀酸痛白天缓解什么原因,NK_FS
d000842,"56岁女性绝经8个月后又来月经,还有可能排卵吗",FCK_FK
d000843,56岁的女性可以服用田七痛经胶囊吗,FCK_FK
d000844,56岁血压120和80与110和70哪个好,NK_XX
d000845,56毫米肺结节算大吗,NK_HX
d000846,57.5公斤160㎝女人算胖吗,YS
d000847,"57岁大叔每天睡前嚼几颗枸杞,半年后去体检,医生:你快别吃了!",YS
d000848,57岁心率86正常吗,NK_XX
d000849,"57岁退行性骨性关节病。软骨磨损,内翻膝无疼痛,可以负重,工作,需要手术吗",WK_GK
d000850,57岁静息心率49怎么能提高呢,NK_XX
d000851,"58岁四十年烟前两去医院做了全面检查各项指标都正常,特别是视力1点5",YS
d000852,58岁女性空腹血糖5.9算高吗,NK_NF
d000853,58岁干体力活两个多月从150到130斤,NK_NF
d000854,58岁男性舍头不舒服右腿没劲怎么回事,NK_SJ
d000855,58的女人浑身疼应该吃什么调理一下,ZY
d000856,59千卡多少运动量,YS
d000857,59大医院,WFPD
d000858,59岁性不功能不行对身体有没有影响,NANKE
d000859,59岁身体测出来是6O,WFPD
d000860,"5Mg普通叶酸服用1个月将我同型半胱降正常,但过敏,改用0.8克又反弹到30,我想下",NK_XX
d000861,5f鞘直径多少,WFPD
d000862,5htp五羟基色氨酸功效和作用,YS
d000863,5q31基因缺失阳性严重吗,NK_XY
d000864,5个人夏天适合吃什么,YS
d000865,5个月婴儿淌鼻涕怎么办,EK
d000866,5个月婴儿退烧是什么原因,EK
d000867,5个月宝宝脸上起红块,EK
d000868,5个月的婴儿一天只睡12小时,EK
d000869,5个月的婴儿打完疫苗后体温升高正常吗,EK
d000870,5个月的宝宝咳嗽泡澡能泡好,EK
d000871,5个症状说明你血糖太高了,NK_NF
d000872,5岁儿童一天拍了3次全景牙片,EK
d000873,5岁儿童前庭发育不良怎么检查出来,EK
d000874,5岁儿童标准身高,EK
d000875,5岁半下门牙掉了要紧吗,EK
d000876,5岁孩子治疗完牙齿发烧怎么办,EK
d000877,5岁孩子牙疼吃什么药效果好,EK
d000878,5岁孩子硫酸特布他林雾化液一次多少,EK
d000879,5岁孩子躺下咳嗽怎么回事,EK
d000880,5岁宝宝一分钟呼吸26次会是肺炎吗,EK
d000881,5岁小孩只有18颗牙齿正常不,EK
d000882,5岁小孩鼻子流血怎么回事,EK
d000883,5岁男孩发烧肚子疼吃什么药,EK
d000884,5岁男孩阴茎包皮里面也出水痘了,EK
d000885,5岁男生小鸡被用力弹了好几下不会立有事吗,EK
d000886,5岁的小孩能吃氯雷他定吗,EK
d000887,5年前打了狂犬疫苗再次被咬还要打吗,GR
d000888,5年生存率70%具体怎么算？,ZL
d000889,5月15日实行纸质处方的药品,JY
d000890,5月20号来月经。然后6月20号没来6月23同房了会怀孕不,FCK_FK
d000891,"5月29号来的月经,6月20移植的囊胚,今天7月1日现在算几周",FCK_CK
d000892,"5月2号来的月经5月7号走的,孕期几个月了",FCK_CK
d000893,5月30号来月6月18号同会怀孕吗,FCK_FK
d000894,"5月低感冒干咳嗽吃了抗生素和咳嗽8天左右感觉好一点就停药了,三天。后三天有",NK_HX
d000895,5毫克他达拉非片服用一年以上,NANKE
d000896,5毫米的膀胱肿瘤是不是恶性程度就低,WK_MN
d000897,5羟维生素检测用空腹吗,JC
d000898,5联疫苗怎么样？,EK
d000899,"6. 原发性牙本质完全形成后,余留在髓腔内的结缔组织即转变为牙髓。",KQ
d000900,60-70岁肌酐标准,JC
d000901,60-70岁血糖标准,JC
d000902,60kg体重的正常人的血量为,QK
d000903,60几岁怎么才能防止脑梗和心梗呢,NK_XX
d000904,60多女性查出HPV 18,FCK_FK
d000905,60多岁的女人外阴都萎缩吗,FCK_FK
d000906,60多岁的老人最近身上老年味很重,QK
d000907,60多岁老女人大便干结严重番泻叶一天喝多少,NK_XH
d000908,60天宝宝睡觉干呕怎么回事,EK
d000909,60岁一65岁老人做梦,QK
d000910,60岁一65岁血压标准表,NK_XX
d000911,60岁一个人不敢睡觉是心理病吗,JS
d000912,"60岁以上的,感冒后,是不是血压和血糖有点高",NK_HX
d000913,60岁以上老人1天喝多少水,YS
d000914,60岁以后天天怎么吃饭保养身体,YS
d000915,60岁低密度脂蛋白超标通过颈动脉轻微狭窄通过药物长期治标能期寿命长长疗预期寿命相差多少呢有没有临床调查评估数据,NK_XX
d000916,60岁吃什么降糖药好,NK_NF
d000917,60岁吃灵芝会伤肝吗？,YS
d000918,60岁后如何补钙,YS
d000919,60岁后每天少睡相当于大脑提前衰老几年,YS
d000920,60岁女人肾精不足吃什么药,ZY
d000921,60岁女人适合做有氧操吗,YS
d000922,60岁女性右腿酸痛是什么原因,WK_GK
d000923,60岁妇女每月还是可以吃点妇科药花红片还是妇科千金片了,FCK_FK
d000924,60岁心率123要警惕四种病,NK_XX
d000925,60岁心衰竭能活多久,NK_XX
d000926,60岁戒烟能多活几年,YS
d000927,60岁晚上跑奶粉和睡眠可以吗,YS
d000928,60岁每天慢跑的害处,YS
d000929,60岁男人体检最主要的几项,QK
d000930,60岁男人老年斑特别多是什么原因,PF
d000931,60岁男人逐渐消瘦的原因是,QK
d000932,60岁的宫颈癌扩散了还可以治,ZL
d000933,"60岁的男人,今年总是咳,咳嗽痰多,怎样治疗?",NK_HX
d000934,60岁的男人性功能不行怎么办好?,NANKE
d000935,60岁的男人脚没有力气了,NK_SJ
d000936,60岁的糖尿病患者空腹血糖7.0高吗,NK_NF
d000937,60岁的高血压患者平时每天都吃药血压稳定夏天枕什么样的凉席枕头最好,NK_XX
d000938,60岁老人要补哪种钙最好呢,YS
d000939,60岁肠梗阻有生命危险吗,WK_PW
d000940,60岁量血压时117-78一80正常吗,NK_XX
d000941,60毫克度洛西汀换成20毫克草酸艾司西酞普兰咋换,JS
d000942,61岁记忆力严重减退,NK_SJ
d000943,61岁骨质疏松指数74.38是什么意思,WK_GK
d000944,62岁吃诺欣妥牌沙库巴曲缬沙坦血压有点偏低吃依新牌沙库巴曲缬沙坦可以吗,NK_XX
d000945,62岁更年期最厉害三个症状,FCK_FK
d000946,62岁每天睡几小时正常,YS
d000947,62岁男下肢脚踝处均匀浮肿什么原因,NK_XX
d000948,63岁女车祸后脑疝严重且毫无意识做开颅手术后脑压减轻但瞳孔散大12天还是毫无,WK_SJ
d000949,63岁男血压100-60正常吗,NK_XX
d000950,63岁血压正常范围是多少,NK_XX
d000951,64岁2腿很重很沉一般是什么毛病毛病,WK_PW
d000952,"64岁低密度脂蛋白4,09怎么调理",NK_XX
d000953,64岁高压137是否属于高血压,NK_XX
d000954,6542是什么药,YP_GENERIC
d000955,6542消旋山莨菪碱片一次吃几片,YP_GENERIC
d000956,6542消旋山莨菪碱片的功效与作用,YP_GENERIC
d000957,65岁女人血压多少算正常,NK_XX
d000958,65岁女性可以吃小金胶囊吗,YP_GENERIC
d000959,65岁女肝硬化会怎样,NK_XH
d000960,65岁女餐后血塘8.1正常吗,NK_NF
d000961,65岁男人心梗前兆有哪些,NK_XX
d000962,65岁男人脑子疼能不能出门运动?,NK_SJ
d000963,65岁男性乳腺发育是什么原因,WK_PW
d000964,65岁男性肌酸激酶高怎么办,NK_XX
d000965,65岁男的还能让30岁女的怀孕吗,NANKE
d000966,66岁经常感觉到累怎么回事,QK
d000967,66毫克铁含量高吗,YS
d000968,67岁的女性低压60高压88正常吗,NK_XX
d000969,"68公斤男青年减重后,很单薄,咋调整,单薄体态会不会不能改变了",YS
d000970,68岁男人PSA多少为正常,WK_MN
d000971,6g枸杞子需要配几克香櫞佛手,ZY
d000972,6个月宝宝3天没拉大便怎么办,EK
d000973,6个月宝宝为什么汗水多,EK
d000974,6个月宝宝吃土豆过敏吃什么药,EK
d000975,6个月宝宝打A群还是AC结合疫苗,EK
d000976,6个月宝宝脸一边大一边小怎么纠正,EK
d000977,6个月宝宝身高62厘米正常吗,EK
d000978,6个月宝宝鼻子上划了一个长道结疤了掉了还有红印子咋回事,EK
d000979,6个水饺的热量是多少,YS
d000980,6号同房10号排卵几号着床,FCK_SZ
d000981,"6周岁孩子吃啥吐啥,喝水吐怎么办",EK
d000982,6周岁有什么育苗,EK
d000983,6周岁男孩右眼50度散光正常吗,EK
d000984,"6周有胎心胎芽8周没胎心,为什么会这样",FCK_CK
d000985,6岁9个月女孩子正常身高,EK
d000986,6岁儿童下排门牙内侧长出牙,EK
d000987,6岁儿童喜欢让大人抱着走路正常吗,EK
d000988,6岁儿童打百白破后胳膊红肿一大片,EK
d000989,6岁大牙齿长不出来怎么办,EK
d000990,6岁孩子早上起来口气重是什么原因,EK
d000991,6岁孩子老说肚子疼怎么回事,EK
d000992,6岁小孩7天不拉屎怎么回事,EK
d000993,6岁小孩做ct对身体有什么影响,EK
d000994,6岁小孩喉咙老是不舒服哼哼的怎么办,EK
d000995,6岁小孩子长期吸了二手烟会怎样,EK
d000996,6岁小孩尿突然憋不住尿床上一点正常吗,EK
d000997,6岁小宝每天晚上洗澡后脚是凉的手是热的1小时后正常,EK
d000998,6岁小朋友偶尔流鼻血,EK
d000999,6岁小朋友尿路感染了会有什么症状吗,EK
d001000,6年人参的功效与作用,YS
d001001,6年前做过穿刺，未报出严重问题，认为接近轻度骨髓增生异常综合症，鉴于几十年来三系始终偏低(在下限边沿上下，白细胞最理想时4.0，血小板90多)，医生说不需要处理，只是今年以来觉得在原来偏低基础上又在下降,NK_XY
d001002,"6月19来的月经,7月1号没测到卵泡",FCK_FK
d001003,"6月23号来月经,30号干净同房",FCK_FK
d001004,6月2移植5天囊胚现在孕周是多少,FCK_CK
d001005,6月宝宝反复发烧怎么回事,EK
d001006,7-3+到7-28大姨妈周期多少天,FCK_FK
d001007,7000U的依诺肝素是几毫升,YP_GENERIC
d001008,70ml蛋白粉等于多少g,YS
d001009,"70多岁的老人,脑梗应该吃哪些水果和食物",NK_SJ
d001010,70多岁的老年人高压嗯高压是110多低压是60多,NK_XX
d001011,70岁一75岁血压标准,NK_XX
d001012,70岁一般还剩多少牙,KQ
d001013,70岁不绝经,FCK_FK
d001014,"70岁以上老人,便秘比例",NK_XH
d001015,70岁双腿中尿中有血丝怎么回事,WK_MN
d001016,70岁有中风症状，痛风，肩周炎，适合吃磷虾油吗,YS
d001017,70岁老人同型半胱氨酸37.1高吗,NK_XX
d001018,70岁老人抽筋警惕四种病,WK_GK
d001019,70岁老人拉片片大便是便秘吗,NK_XH
d001020,70岁老人腰下到脚后跟的筋痛最佳治疗方法,WK_GK
d001021,70年代中国普遍有蛔虫的原因,GR
d001022,70的人经常吸烟咳痰是不是肺癌,NK_HX
d001023,"71岁老年人 有人讲她很瘦 重量没有减少,看起来很瘦??是有什么病吗?",QK
d001024,71胃癌可以不做手术吗,ZL
d001025,72岁还可以同房吗,QK
d001026,73岁妇女尿酸稍高正常吗,NK_NF
d001027,73岁老人出眼屎什么原因,YK
d001028,73岁老人嗜睡,NK_SJ
d001029,74岁为什么断崖式记忆力下降了,NK_SJ
d001030,74岁怎么会心衷心慌呢,NK_XX
d001031,75%医用酒精开启后有效期,YP_GENERIC
d001032,75岁老人一个右肾现在右肾输尿管结石8毫米伴盆腔囊肿6.5 4.8厘米,WK_MN
d001033,75岁老人射精后大量出汗正常吗治疗老,NANKE
d001034,75度消毒酒精对嗓子哑了,EB
d001035,75度的水烫伤手吗,WK_SZ
d001036,76岁男性不射精吃什么药,NANKE
d001037,76岁糖尿病 餐后血糖多少算控制的好,NK_NF
d001038,76岁老太太过性生活时阴水很多是怎么回事,FCK_FK
d001039,76岁老脉搏90以上,NK_XX
d001120,8岁孩子时隔3个月发烧一次,EK
d001121,8岁孩子胀气如何快速消除,EK
d001122,8岁小孩一只腋下有狐臭味正常吗,EK
d001123,8岁小孩会有鼻炎吗,EK
d001124,8岁小孩割了包皮痒怎么办,EK
d001125,8岁换了8颗牙正常吗,EK
d001126,8岁男孩正常身高体重,EK
d001127,8岁肺活量1775,EK
d001128,8微克维生素d等于多少单位,YP_GENERIC
d001129,8月12号来的月经 九月6号又来了,FCK_FK
d001130,"8月17日来的月经,9月14日还没来例假",FCK_FK
d001131,"8月24来大姨妈,28号结束,我想测一下有没有怀孕,能测出来吗",FCK_CK
d001132,"8月4号来月经,9月14日怀孕几周了呢",FCK_CK
d001133,8月4号结束，18号又来了，经期也是7天，但是量少了。,FCK_FK
d001134,8月猴上慢月环后到45岁月经绝经后还长子宫内膜息肉吗绝经后还长吗,FCK_FK
d001135,8根肋骨不全骨折怎么办,WK_GK
d001136,8点半吃过早餐血糖15正常吗,NK_NF
d001137,9.1.糖,WFPD
d001138,"9.1号晚上月经来了,14号凌晨同房,经期7天,会怀孕吗",FCK_CK
d001139,903解放军医院,JY
d001140,905医院地址,JY
d001141,90多岁的老人心率一会高一会低是怎么回事,NK_XX
d001142,90字评：煮到玉米粒开花的紫糯玉米，富含花青素，当主食吃比精米白面养人 第一，紫糯玉米的深紫色，藏着丰富的花青素咱们总想着花大价钱买各类滋补品补充营养，其实身边普通的粗粮里就藏着不少好东西。这种花青素都集中在紫色的玉米粒里，颜色越深，含量也第二，膳食纤维充足，减轻肠胃消化负担第三，久煮的做法，口感软糯香味更浓第四，粗细搭配，才是日常简单的养生方式其实养生从来都不用追,YS
d001143,"90岁男人肌肉流失严重,好像只有骨架一样,正常吗",QK
d001144,90岁老人动脉血氧饱和度78严重吗?,NK_HX
d001145,90岁老人缺钾的后果,NK_NF
d001146,90岁老人黑眼球黑亮黑亮的是肝好吗,YK
d001147,90岁高龄间质性肺炎晚期服用法半夏18克，连续六天会怎样？,NK_HX
d001148,910医院,JY
d001149,93岁空腹血糖9.5高吗,NK_NF
d001150,95度酒精可以消毒吗,YP_GENERIC
d001151,961心跳微搏,WFPD
d001152,999小儿止咳糖浆和玉屏风颗粒可以一起吃吗,YP_GENERIC
d001153,999感冒灵会使人犯困吗,NK_HX
d001154,999感冒灵分成,YP_GENERIC
d001155,999感冒灵颗粒,WFPD
d001156,999感冒灵颗粒儿童,WFPD
d001157,999感冒灵颗粒是风热还是风寒,ZY
d001158,999感冒灵颗粒的功效与作用,NK_HX
d001159,999感冒颗粒是中成药还是西药,YP_GENERIC
d001160,999皮炎平,PF
d001161,999皮炎平的功效与作用,PF
d001162,99感冒灵颗粒能和咳特灵胶囊一起喝吗,NK_HX
d001163,99银玫瑰凝胶效果作用,YP_GENERIC
d001164,"9X7毫米胆襄息肉,界消,形态规则无胆管扩张需要手术吗",WK_PW
d001165,9×5mm子宫内膜息肉与0.76×0.26cm那个大,FCK_FK
d001166,9个月婴儿断奶不喝奶粉怎么办,EK
d001167,9个月宝宝可以吃红薯淀粉吗,EK
d001168,9个月的婴儿大便为什么会有血丝,EK
d001169,9个月的宝宝能吃哪些清热解毒的药,EK
d001170,9分钟一公里算跑步还是步行,FYL
d001171,9周没有胎心还有希望吗,FCK_CK
d001172,9岁9个月的小男孩查出骨龄是10岁三个月。过年大半岁应采取什么措施?,EK
d001173,9岁儿童36.7度体温正常吗,EK
d001174,9岁儿童耳朵里面有黑色硬块图片,EK
d001175,9岁女儿右脚经常弯曲疼痛是什么原因,EK
d001176,9岁女婴脸上后颈部身上肚子上腿上都有红斑i,EK
d001177,9岁女孩还是尿裤子怎么办,EK
d001178,9岁孩子咳嗽吐之后胃疼怎么治疗,EK
d001179,9岁孩子晚上肚子疼怎么回事,EK
d001180,9岁孩子狐臭用什么药,EK
d001181,9岁小孩可以吃弥猕猴桃吗,EK
d001182,9岁小孩吃天麻汤能吃吗,EK
d001183,9岁小孩牙痛怎么办,EK
d001184,9岁男孩严重过胖用指压板可以吗,EK
d001185,9岁男孩脉搏跳动9正常吗1分钟,EK
d001186,"9岁男孩身高145,体重82斤,血压90,140,怎么回事",EK
d001187,9月10号移植囊胚到9月14号胃胀什么情况,FCK_SZ
d001188,9月宝宝吃菠菜焯水几分钟可以吃,EK
d001189,9毫米乳腺结节做手术吗结节,WK_PW
d001190,9粒1,WFPD
d001191,:咽粘膜充血怎么办,EB
d001192,:洪广祥肺纤维化方,NK_HX
d001193,?穿纯棉内裤，清水清洗，不用护垫?,YS
d001194,AB型血的人怎么吃更健康？,YS
d001195,ADHD,JS
d001196,ADHD药物,JS
d001197,ADS为什么可以促进钾分泌,WFPD
d001198,AD是特异性皮炎吗,PF
d001199,AED,JZ
