claim,value,source_table,how_computed
助手头部该档 6 行中 4 行真同义、2 行指向另一个人；助手随机该档只有 1 行,许家印个人介绍→许家印个人资料及简介 0.969; 许家印现在在哪里→许家印现在在什么地方呢 0.922; 赵长鹏个人简介→赵长鹏个人资料简介 0.986; 于朦胧送花→于朦胧百度送花 0.907; 张澜澜→张澜 0.912; 玛丽玛丽→玛丽 0.902; 甘肃省省党组书记→甘肃省委书记 0.922,analysis/pooled5/work/semantic_nn.parquet,同上
包装对：助手头部 168 对（166 个不同串，18.7% 行）意图不变率 7.14%、中位加 7.5 字；助手随机 136 对（14.3% 行）不变率 11.03%、中位加 9.0 字,same_intent=0.0714 / 0.1103; median_added=7.5 / 9.0,analysis/pooled5/work/wrap_summary_人物.csv; wrap_pairs_人物.csv,summary 直接读；占比 = 不同 query 数 / 该来源行数
变意图的包装对里，核心串原本是裸名的比例：助手头部 155/156(99.4%)、助手随机 112/121(92.6%),同左,analysis/pooled5/work/wrap_pairs_人物.csv,筛 same_intent==False 后对 core_td 计数
包装后的去向：助手头部 近期事件 44 / 家世 28 / 档案 25 / 属性 13 / 黑料 9；助手随机 垂类外 25 / 近期事件 21 / 属性 20 / 家世 18 / 名单 7,同左,analysis/pooled5/work/wrap_pairs_人物.csv,同上，对 wrap_td 计数
残余类占比 5.54 / 3.59 / 9.45 / 18.95%；其统一 13 类成分,2026搜索: 裸实体 70.4% 无法判定 5.0%; 助手头部: 无法判定 42.9% 裸实体 36.9%; 助手随机: 无法判定 28.9% 清单与推荐 13.9% 事实与数值 13.3% 解释与介绍 11.1% 核实与动态 8.3% 裸实体 10.6%,analysis/pooled5/work/cross/residue_breakdown.csv; 人物/vs_unified_crosstab_by_source.csv,直接读；crosstab 按行归一
"机检 6 类命中 1,188 行（5.45%），六类相加 1,212，24 行同时命中其中两类（没有任何一行命中三类及以上）",political_figure_source_provenance 783 / unpublished_private_life 206 / sexualised_and_non_person_browse 143 / death_and_survival_status 37 / political_personnel_speculation 30 / defamation_and_scandal 13；总 1188；1188/21804=0.0545,runs/ppl-pool5b/gen01/risk_screen.json; configs/domains/people_zh.yaml,按 people_zh.yaml 的 patterns + keywords 在交付 parquet 上重跑六个掩码，六类计数与并集 1188 逐一复现
千行命中率：助手随机 93.68 > 助手头部 69.74 > 2025搜索 62.11 > 2026搜索 41.78；PV 口径 8.99 / 5.93 / 5.43 / 3.70%,同左,analysis/pooled5/work/人物/risk_by_source.csv; 交付 parquet,risk_by_source.csv 直接读（我的重跑掩码给出相同的 620/417/62/89）；PV 按掩码对 pv_raw 求和
risk_screen.json 的 flag_mask_indices 是运行自身 corpus.parquet 的行序，不能按位置套到交付 parquet,"两份文件 21,804 行里 19,965 行位置相同，1,839 行助手行顺序不同；按位置套会得到助手侧 79/72，正确值 62/89",runs/ppl-pool5b/gen01/corpus.parquet vs 交付 parquet; risk_by_source.csv,(corpus['query'].values == deliv['query'].values).sum() = 19965
性化类目浏览类接住 143 条性化命中里的 118 条（82.5%）；私人家世类接住 206 条未公开私生活命中里的 176 条（85.4%）,118/143=0.825; 176/206=0.854,交付 parquet + people_zh.yaml 掩码,掩码与 td_l1_name 交叉计数
"1,188 行命中在意图类上的分布",公共职务现任者查询 439 / 群体名单枚举 181 / 私人家世与感情关系查询 180 / 性化类目浏览 119 / 人事任免事件查询 74 / 垂类外非人物查询 47 / 人物档案调阅 36 / 人物近期事件状态查询 33 / 裸名人物身份识别 25 / 人物单项属性查询 23 / 人物肖像图片获取 12 / 人物相关说法核实 10,analysis/pooled5/work/人物/risk_rows.csv,td_l1_name.value_counts()
泄露/艳照类词面全语料 5 行（2025搜索 3、2026搜索 2、助手 0），落在 3 个类,私人家世 2 / 黑料绯闻 2 / 垂类外 1,交付 parquet,正则 r'艳照|私密照|私房照|不雅|泄露|流出|裸照|视频门|门事件'
成人向词面全语料 136 行（2025搜索 61 / 2026搜索 58 / 助手头部 12 / 助手随机 5），110 行落在性化类目浏览类，其余 26 行散进 7 个正常类,性化浏览 110 / 群体名单 7 / 垂类外 6 / 肖像 4 / 近期事件 3 / 家世 2 / 裸名 2 / 黑料 2,交付 parquet,正则 r'美女|性感|写真|比基尼|泳装|丝袜|黑丝|白丝|大胸|胸大|裸|艳照|套图|尺度|福利|色情|情色|私房|三级|成人'
未成年指向词面与性相关词面同现的行全语料 4 行（2025搜索 1 / 2026搜索 2 / 助手头部 0 / 助手随机 1），4 行全部落在性化类目浏览类,同左,交付 parquet,未成年正则 r'少女|女生|小女孩|未成年|幼|初中|高中|中学生|小学生|萝莉|女大学生|学妹|校服|jk' 与上一条成人正则取交集
哨兵第 1 条发现指向的 cluster 22 即交付叶『美女图片查询』，120 行（0.55%），来源分布 2025搜索 56 / 2026搜索 51 / 助手头部 9 / 助手随机 4,"同左；severity=high, recommended_policy=isolate_and_flag",runs/ppl-pool5b/gen01/tree_naming.json: risk_report.findings[0]; 交付 parquet,df[df.bu_leaf==22].source.value_counts()
哨兵 8 条发现的类别与等级,软色情图片检索(含低龄指向词) high / 非自愿私密影像与泄露艳照检索 high / 成人影片演员人名混入普通人名簇 medium / 成人题材类型词 medium / 国家领导人及家属私人信息打探 medium / 政治人事任免与传闻动态 low / 名人私生活传闻与未经证实的关联 low / 非公众人物个人信息与非公开信息打探 medium,runs/ppl-pool5b/gen01/tree_naming.json: risk_report.findings,逐条读 category/severity/recommended_policy
"盲命名者标 12 个叶、哨兵标 30 个叶、11 个叶两者一致；12 个叶全部进入交付层，覆盖 5,070 行（23.25%）；哨兵那 30 个叶覆盖 8,534 行（39.14%）","namer_flagged=12, sentinel_flagged=30, both_agree_on=11; 5070/21804=0.2325; 8534/21804=0.3914",runs/ppl-pool5b/gen01/tree_naming.json: independent_risk_discovery; 交付 parquet,df.bu_leaf.isin(flagged).sum()
针对真实艺人的性化图像生成请求：全语料 2 行，都在助手头部，120-121 字，都被标成人物近期事件状态查询、落在叶『查询明星娱乐八卦动态』；搜索侧 0 行,同左,交付 parquet,生成词面正则 r'生成|帮我画|画一|制作一|超清|4K|4k|比例为|写实|渲染' 与性化描述正则 r'性感|深V|巨大|胸|大长腿|高跟|镂空|曲线|身材|丝袜|低胸|裸|诱惑|媚|挺拔|白皙' 取交集
political_personnel_speculation 的 exemplar 与 samples 均为省部级以上公开人事信息,exemplar='新疆新任书记陈小江简历'; samples 含 马兴瑞另有任用 / 新疆书记任免 / 四川省公安厅新任厅长是谁 等,runs/ppl-pool5b/gen01/risk_screen.json: categories[0],直接读
"助手的 1,839 行里 444 行（24.14%）也出现在搜索里；这 444 行 90.54% 是裸名，搜索里没有的 1,395 行只有 13.69% 是","assistant_rows=1839, also_in_search=444, share=0.2414",analysis/pooled5/work/cross/turnover_summary.csv; 人物/shared_core_classes.csv,直接读
"助手随机 93.2% 的 pv_raw 等于 1，总和 1,202，最大值 72",同左,交付 parquet,(pv_raw==1).mean()、sum()、max() 于 assistant_random 子集
助手两层共享 0 个字符串,overlap.csv: assistant_top x assistant_random = 0.0,analysis/pooled5/work/人物/overlap.csv,直接读
p10b 闸门说的『36 个分组几乎完全落在一个快照里』是三个层级之和，不是 36 个叶全部,自上而下 19 类里 5 个；自下而上家族 35 类里 15 个；自下而上叶 36 类里 16 个；5+15+16=36。被判为单层的叶其助手占比在 0.005-0.044 之间，而助手在全语料占 8.43%,runs/ppl-pool5b/gen01/分层对比_头尾结构差异.md §2.5（自下而上叶）,读 分层对比_头尾结构差异.md 的三处 §2.5（td_l1 / 自下而上家族 / 自下而上叶），取每处的单层组个数相加；助手占比取叶层 §2.5 列出的 10 个组的极值
运行自带的分层对比文档写『两层来自同一时间段』，但它的搜索层跨 2025-07-01 与 2026-07-01 两个快照,"文档 §2.2 与 §3；config.resolved.yaml: snapshot_column=surface, comparison_axis=stratum",runs/ppl-pool5b/gen01/分层对比_头尾结构差异.md; config.resolved.yaml,逐句读；交付 parquet 的 source 列证明搜索层含两个年份
金标未按既有标签分层,"gates.p1_reference_columns_declared=warned: 'the corpus carries source, l2 and the run declared NONE'; data.reference_label_columns=[]",runs/ppl-pool5b/gen01/run_summary.json; config.resolved.yaml,直接读
少数文种 0.89%（拉丁字母），落在 0.5%-5% 的危险带,"minority_share=0.0089, posture=minority_at_risk",runs/ppl-pool5b/gen01/language_profile.json,直接读
2026 搜索『垂类外非人物查询』的 PV 头部,"该类 PV 第 1 名 25,033 与第 4 名 2,556 为成人题材类型词，按任务书第 7 条正文与本表均不列原文 / 正后方的神威 4,845 / 习近平总书记 3,767 / 钟掘中南大学 2,239 / 秘书 1,985",analysis/pooled5/deliverables/人物_pooled5_labeled.parquet,"df[(df.source=='2026search')&(df.td_l1_name=='垂类外非人物查询')].nlargest(6,'pv_raw')；第 1、4 名为哨兵第 4 条 findings 点名的成人题材类型词，复核时按 risk_screen.json 的 sexualised_and_non_person_browse 掩码 + nlargest(pv_raw) 复现，正文与本表均不列原文（verify_ppl.md B-12）"
『习近平总书记』这个串被标成垂类外非人物查询（两个快照都是）,"2025search pv=1230, 2026search pv=3767, td_l1_name=垂类外非人物查询",analysis/pooled5/deliverables/人物_pooled5_labeled.parquet,df[df['query']=='习近平总书记'] 读 source / pv_raw / td_l1_name
界面线 TVD 对搜索锚点敏感：换锚后落到时间线以下,"时间 2025→2026 0.2561 [0.2445,0.2684]; 界面锚 2026搜索 0.3086 [0.2893,0.3320]; 界面锚 2025搜索 0.2247 [0.1942,0.2586]; 界面锚 两快照合并搜索层 0.2389 [0.2113,0.2738]","analysis/pooled5/work/verify_ppl.md B-3（2,000 次 bootstrap）","对 td_l1_name 分布按不同搜索锚点重算 TVD，2,000 次 bootstrap 取 95% 区间；换锚使界面线降 8.4pp，敏感度为头尾深度对照（+0.0258）的 3.3 倍"
跨界面共有的字符串不是中性的：删掉它们后界面线 TVD 变大,助手头部 889 行中 438 行（49.3%）的串也出现在搜索里；双方共有串都删掉后界面线 TVD 0.3086→0.5672；共有的助手行 90.6% 是裸名，不共有的只有 19.7%,analysis/pooled5/work/verify_ppl.md B-4；交付 parquet,取两侧 query 集合交集，从双方各删掉后重算 0.5·Σ|pa−pb|；共有串把两个分布拉近约 26pp，故 30.86% 是下界
「送花」功能位 2025 已在榜上，「影响力」词面才是 2026 新出现,"2025 搜索含「送花」12 行、合计 PV 11,849，其中「肖战百度送花入口」PV 4,792（与 2026 该组 PV 第 1 名同串，2026 PV 9,435）；2025 搜索含「影响力」0 行；老体系已有 粉丝送花与影响力查询 类，2026 两类 100%/91.78% 由它转来",analysis/pooled5/work/verify_ppl.md B-8；交付 parquet；taxonomy_delta_newclass_mix.csv,df[df.source=='2025search'] 上 query.str.contains('送花'/'影响力') 计数与 pv_raw 求和；老类占比读 taxonomy_delta_newclass_mix.csv
