claim,value,source_table,how_computed
长度中位 / p90 / 均值,2025搜索 6/12/7.06；2026搜索 6/12/6.80；助手头部 3/10/4.92；助手随机 14/34/25.32,analysis/pooled5/work/教育/form.csv,form.csv 的 len_median / len_p90 / len_mean 四行
≤3 字行占比,2025 11.0% / 2026 12.4% / 助手头部 51.9% / 助手随机 1.6%,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,按 source 分组，(df['query'].str.len()<=3).mean()
≥20 字 / ≥40 字行占比,2026搜索 0.5% / 0.01%（9981 行中 1 行）；2025搜索 0.5% / 0.01%（1 行）；助手随机 23.4% / 8.1%；助手头部 2.0% / 0.7%,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,同法，(L>=20).mean() 与 (L>=40).mean()。两个搜索来源的 ≥40 字均为 1 行，不是 0 行
疑问句标记,2025 15.0% / 2026 16.6% / 助手头部 12.2% / 助手随机 42.6%,analysis/pooled5/work/教育/form.csv,form.csv 的「疑问句」列，值为 0–1 小数，乘 100
祈使/委托标记,0.1% / 0.2% / 5.4% / 10.8%,analysis/pooled5/work/教育/form.csv,「祈使/委托」列
第一人称标记,0.2% / 0.2% / 4.3% / 14.7%,analysis/pooled5/work/教育/form.csv,「第一人称」列
输出约束标记,0.1% / 0.1% / 3.4% / 7.3%,analysis/pooled5/work/教育/form.csv,「输出约束」列
回指上文标记,2025 0.01% / 2026 0.01% / 助手头部 2.8% / 助手随机 3.4%,analysis/pooled5/work/教育/form.csv,「回指上文」列；搜索两行的原值 1.0011e-4 与 1.0019e-4 即 9989 行中 1 行、9981 行中 1 行
导航词标记,2025 2.5% / 2026 3.7% / 助手头部 0.0% / 助手随机 0.2%,analysis/pooled5/work/教育/form.csv,「导航词」列；助手头部原值 0.0，即 859 行中 0 行
多问句（一行≥2问）,搜索两行均 0.0%；助手头部 0.0%；助手随机 1.5%,analysis/pooled5/work/教育/form.csv,「多问句(一行≥2问)」列
对 2026 搜索的最近邻·中位相似度,2025搜索 1.000 / 助手头部 0.709 / 助手随机 0.567,analysis/pooled5/work/semantic_nn.parquet,nn=read_parquet(semantic_nn.parquet)；e=nn[nn.domain=='教育']；按 source 取 e.sim.median()。该表每行已是该 query 的 top-1 邻居（nn_rank 是邻居在 2026 池中的下标，不是名次，不要用它过滤）
对照·2026搜索前1000→其余的中位与分档,中位 0.858；≥0.999 0.2% / 0.90–0.999 29.0% / 0.80–0.90 47.3% / 0.70–0.80 20.4% / <0.70 3.1%,analysis/pooled5/work/semantic_nn_controls.parquet,筛 domain=教育 & kind=对照·2026搜索前1000→其余（n=1000），按 p5_semantic_nn.py 的 BANDS 分档
近邻分档·2025搜索,≥0.999 67.4% / 0.90–0.999 6.7% / 0.80–0.90 9.7% / 0.70–0.80 8.1% / <0.70 8.1%（n=9989）,analysis/pooled5/work/semantic_nn.parquet,同上分档口径
近邻分档·助手头部,≥0.999 18.7%(161) / 0.90–0.999 1.2% / 0.80–0.90 7.6% / 0.70–0.80 25.3% / <0.70 47.3%（n=859）,analysis/pooled5/work/semantic_nn.parquet,同上
近邻分档·助手随机,≥0.999 0.1%(1 行) / 0.90–0.999 0.4%(4 行) / 0.80–0.90 1.5% / 0.70–0.80 7.4% / <0.70 90.5%（n=970）,analysis/pooled5/work/semantic_nn.parquet,同上
"余弦""完全相同""与字符串重合几乎一致",2025搜索 67.4% vs 67.1%；助手头部 18.7% vs 18.3%；助手随机 0.1% vs 0.10%,analysis/pooled5/work/semantic_nn.parquet + analysis/pooled5/work/教育/overlap.csv,"左列取自上面三条的 ≥0.999 分档；右列取自 overlap.csv 行=该来源、列=2026search 的值（0.6709 / 0.1827 / 0.0010）——注意 0.6715 是转置格（行=2026search、列=2025search），不可误取。差值分别 0.3pp / 0.4pp / 0.00pp；差额成因见""余弦 ≥0.999 中非逐字重合的行""一条"
助手随机 0.90–0.999 档的全部 4 行,opc是啥意思→opc是什么意思(0.997) / 劲拼音→劲的拼音(0.963) / 论语原文十二章→论语十二章(0.935) / 湖南的分数线→湖南高考分数线(0.933),analysis/pooled5/work/semantic_nn.parquet,"e[(e.source=='assistant_random')&(e.sim>=0.90)&(e.sim<0.999)][['query','nn_query','sim']]"
助手随机相似度最低的真实行（按序不跳号）,最低 7 行按序：鹦鹉螺号在南极海域遭遇冰盖封冻时…(0.338，邻居 章鱼是特马打一动物) / 奥特曼舞台剧特效怎么做(0.345，邻居 efficient) / 翻新的床铺材质对承重有影响吗(0.377) / 火柴人皇帝怎么画？(0.381) / 如何直观感受tree3有多大(0.383，邻居 庭中有奇树) / 这种性格在悉尼读书时容易遇到什么挑战(0.404，邻居 学历类别有几种) / 王道强化课没有配套资料书的话，用什么配比较合适(0.412，邻居 没组词),analysis/pooled5/work/semantic_nn.parquet,"e[e.source=='assistant_random'].nsmallest(7,'sim')。旧稿列的 5 条实为第 1、2、5、6、7 名，跳过了第 3（0.377）与第 4（0.381）"
余弦 ≥0.999 中真正非逐字重合的行（0.3-0.4pp 差额的成因）,助手头部 ≥0.999 共 161 行，其中非逐字重合仅 4 行：D→d / T→t / What→what / You→you。2025 搜索侧 ≥0.999 共 6733 行，非逐字重合 31 行，成因含大小写、空格差（所见古诗→所见 古诗、money是什么意思→money 是什么意思）与生僻字在编码器里塌缩（緌怎么读→赟怎么读、苧字怎么读→簟字怎么读、18🈲→赟）。旧稿称 S(助手)/s(搜索) 是唯一例外，错：S 本身存在于 2026search（PV 718），逐字比对算重合,analysis/pooled5/work/semantic_nn.parquet,e[(e.source==src)&(e.sim>=0.999)] 与 overlap 的逐字集合求差集，逐条人工判读成因。生僻字塌缩是'≥0.999=逐字相同'这条读法的已知失真来源
本领域无包装对文件,analysis/pooled5/work/ 下只有 wrap_pairs_医疗.csv / wrap_summary_医疗.csv,analysis/pooled5/work/,ls analysis/pooled5/work/ | grep wrap → 仅医疗两个文件，无教育版本
本领域无语音来源,assistant_voice 不在 sources 中,analysis/pooled5/work/教育/summary.json,summary.json 的 sources 只有 4 个键；form.csv / fit.csv 均只有 4 行
助手头部的两个短词叶合计占比,短词模糊查询处理 21.30% + 查询极短词条 13.62% = 34.92%；2026搜索同两叶 1.97%+1.82%=3.79%,analysis/pooled5/work/教育/shares_bu_leaf_name.csv,按 source/label 透视 row_share，取这两个 label 的两行相加
助手随机的两个生成叶合计占比,按需求生成与改写文本 26.91% + 生成作业与学习内容 21.24% = 48.15%；2026搜索同两叶 1.55%+1.66%=3.21%,analysis/pooled5/work/教育/shares_bu_leaf_name.csv,同法
叶层界面差最大的一叶,查询高校与职业院校信息 2026搜索 24.13% → 助手头部 1.63%（−22.50pp）,analysis/pooled5/work/教育/shares_bu_leaf_name.csv,两 source 的 row_share 相减；与 contrast_summary_bu_leaf_name.csv 的 top_movers 首项一致
体系适配度·td 置信度均值,2025搜索 0.896 / 2026搜索 0.897 / 助手头部 0.781 / 助手随机 0.620,analysis/pooled5/work/教育/fit.csv,fit.csv 的 td_confidence_mean 列
体系适配度·td 置信度 p10,0.629 / 0.635 / 0.491 / 0.342,analysis/pooled5/work/教育/fit.csv,td_confidence_p10 列
体系适配度·td 模糊率,0.51% / 0.57% / 1.51% / 3.92%,analysis/pooled5/work/教育/fit.csv,td_ambiguous_% 列
体系适配度·bu 模糊率,7.81% / 8.25% / 23.75% / 26.80%,analysis/pooled5/work/教育/fit.csv,bu_ambiguous_% 列
体系适配度·td margin 均值,0.840 / 0.841 / 0.654 / 0.443,analysis/pooled5/work/教育/fit.csv,td_margin_mean 列
用到的类目数,搜索两来源各 20 类；助手头部 17 类；助手随机 19 类,analysis/pooled5/work/教育/fit.csv,distinct_td_l1 列
纯 ASCII 行占比,2025搜索 19.41% / 2026搜索 16.85% / 助手头部 5.47% / 助手随机 1.96%,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,"按 source 分组，re.fullmatch(r'[\x00-\x7f]+', query) 为真的行占比"
2026 搜索纯 ASCII 行中落在翻译类的比例,94.6%（1591/1682）,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,t=df[df.source=='2026search']；(t.ascii & (t.td_l1_name=='启动翻译工具或查询英汉词句')).sum()/t.ascii.sum()
2026 搜索翻译类中纯 ASCII 的比例,86.6%（1591/1837）,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,t2=df[(source=='2026search')&(td_l1_name=='启动翻译工具或查询英汉词句')]；t2.ascii.mean()
2026 搜索翻译类裸英文词真实例子,shine7674 / silk4625 / tap2867 / knot2567 / Dropout2456 / present2231 / clash2057,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,t2[t2.ascii] 按 pv_raw 降序取样。注意 nlargest(7) 的实际前三是 welcome(2411) / Welcome(2283) / token(2254)；正文列的 present(2231)、clash(2057) 存在但排名更后，此处是举例而非严格 top-7
学段词行占比,2026搜索 1.18%(118行) / 助手头部 2.91%(25行) / 助手随机 10.00%(97行)。注意：该 97 行用的是含 考研|专升本|大[一二三四] 的完整学段词正则；与家庭称谓求并集为 108 行（11.1%），并非 97 行,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,正则 [一二三四五六]年级|初[一二三]|高[一二三]|小学|初中|高中|幼儿园|考研|专升本|大[一二三四] 的 str.contains().mean()。pandas 3 走 RE2，该正则不含 \w/\s 与反向引用，安全
家庭称谓行占比,2026搜索 0.08%(8行) / 助手头部 0.58%(5行) / 助手随机 1.44%(14行),analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,正则 孩子|儿子|女儿|我家|娃|小孩|家长|宝宝 的 str.contains() 按 source 计数。流水线自带的 form.csv「家庭成员」列用另一套词表，给出 0.08%/0.70%/1.75%，方向一致但不是同一个数
画像反证测试（家长推断未通过，并集口径 108 行）,"按正文正则求并集为 108 行（11.1%）。剔除后助手随机的 U07 个案判断与建议 由 6.29% 仅降至 5.68%（2026搜索 0.11%）；U06 办事与操作 由 4.95% 降至 4.76%（搜索 0.74%）；U10 生成与编辑 由 20.52% 反而升至 20.77%。旧稿的 97 行用的是去掉 考研|专升本|大[一二三四] 的窄掩码（结果 5.96 / 4.70 / 20.50），与""学段词 97 行""数字相同纯属巧合，是两个不同的行集合",analysis/pooled5/deliverables/教育_pooled5_labeled.parquet + analysis/sva2026/work,mk = str.contains('[一二三四五六]年级|初[一二三]|高[一二三]|小学|初中|高中|幼儿园|考研|专升本|大[一二三四]') | str.contains('孩子|儿子|女儿|我家|娃|小孩|家长|宝宝')，在 assistant_random 上 mk.sum()=108；随后比较 (t.u=='U07').mean() 与 (t[~mk].u=='U07').mean()。pandas 3 走 RE2，该正则不含 \w/\s 与反向引用，安全
生肖类在四个来源的行占比接近,2025搜索 1.76% / 2026搜索 2.71% / 助手头部 3.03% / 助手随机 2.06%,analysis/pooled5/work/教育/class_profile.csv,class_profile.csv 行 求生肖谜语博彩谜底 的四个 share%_ 列
风险机检总命中,924 行 / 4.239%,analysis/pooled5/work/教育/risk_screen.json,risk_screen.json 的 total_flagged=924、total_share=0.04239；与 summary.json 的 risk_total=924 一致
风险四类的命中数,zodiac_lottery_riddle 463 / official_portal_impersonation 444 / idiom_meaning_as_lottery_probe 18 / credential_and_exam_integrity_fraud 0,analysis/pooled5/work/教育/risk_screen.json,risk_screen.json['categories'] 各项的 n_hits
按来源的千行命中率,2026搜索 49.69 / 2025搜索 39.14 / 助手头部 26.78 / 助手随机 14.43,analysis/pooled5/work/教育/risk_by_source.csv,per_1k 列；= hits/n*1000
风险命中行按类目的分布,导航至官方招考政务门户与登录入口 与 求生肖谜语博彩谜底 两类占绝大多数（2026搜索 195+250=445/496）,analysis/pooled5/work/教育/risk_rows.csv,"pd.crosstab(risk_rows.source, risk_rows.td_l1_name)"
2026 搜索按 PV 的第一名是生肖谜面,斗方名士打一肖 PV=72728，高于 阳光高考网官网 59077 与 翻译 46513,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,"df[df.source=='2026search'].nlargest(3,'pv_raw')"
生肖类的流量占比一年内近翻倍,2025搜索 行1.76%/PV1.91% → 2026搜索 行2.71%/PV3.64%,analysis/pooled5/work/教育/shares_td_l1_name.csv,label=求生肖谜语博彩谜底 的 row_share 与 pv_share 两行
生肖类的流量高度集中,2026搜索该类 top1 占类内 PV 13.50%、top5 占 28.29%（270 行全部不同串）,analysis/pooled5/work/教育/concentration_td_l1_name.csv,source=2026search & label=求生肖谜语博彩谜底 行的 top1_pv_share / top5_pv_share / distinct
生肖边界漏检,全语料含生肖词面 480 行，其中 13 行（2.7%）被判进别类，但携带 65907 PV,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,m=query.str.contains('生肖|打一肖|何肖|打一动物|打一数字|猜一肖')；m.sum()=480；out=df[m & (td_l1_name!='求生肖谜语博彩谜底')]；len(out)=13；out.pv_raw.sum()=65907
漏检中最大的两条,一枝之栖是何肖 PV34826 与 杜绝言路打一肖 PV11437，均被判为 检索古诗文与课文原文,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,"out.nlargest(2,'pv_raw')[['query','pv_raw','td_l1_name']]"
助手上要求批量生成谜面的行,能再给我几个类似的生肖谜语吗(938) / 再给我出一个类似的生肖谜语(517),analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,"df[(source=='assistant_top')&(td_l1_name=='求生肖谜语博彩谜底')].nlargest(8,'pv_raw')"
招考门户类在 2026 搜索的行/流量占比（类目行数，非风险命中数）,类目行数 424 行 = 行 4.25% / PV 6.24%。三个分母须分开：official_portal_impersonation 全语料命中 444 行；落在该类目且来自 2026 搜索的命中为 195 行；424 是该类目在 2026 搜索的行数，不是命中数,analysis/pooled5/work/教育/shares_td_l1_name.csv,"shares_td_l1_name.csv 中 source=2026search & label=导航至官方招考政务门户与登录入口 行的 row_share / pv_share；命中数 195 来自 risk_rows.csv 的 crosstab(source, td_l1_name)"
"明确要求""给答案/代写""的行数",助手头部 10 行(1.16%) / 助手随机 8 行(0.82%) / 2026搜索 0 行(0.00%),analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,正则 直接给我答案|直接出答案|给我答案|答案是什么|帮我写|帮我做|代写 的 str.contains() 按 source 计数
涉性暗示着装的生成请求（只报计数，不引原文）,"全语料词面命中 11 行，来源分布：助手头部 2 行 / 助手随机 2 行 / 搜索两快照 7 行。其中 7 行为 1-2 字短词（裸×2，分别在 2026搜索与助手头部；情趣×2；性感×3），非色情。符合""校园或作业语境下要求生成带性暗示着装的人物图""这一描述的全语料仅 1 行，且只出现在助手随机，被判进 完成中小学学科作业与写作任务；助手随机另 1 行（11 字）无生成或人物特征；助手头部两行均为上述短词，不承载生成请求。旧稿写""7 行是单字裸""与""真正需注意的 3 行、助手头部 1 行""均误",analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,正则 泳衣|比基尼|裸|情趣|丝袜|诱惑|白丝|黑丝|内衣|胸|性感|不穿|脱衣；按 source×td_l1_name 计数，再逐行人工判读长度与是否含生成/人物特征。按任务书第7条不引原文。n=1 只能说明该类请求可以发生并落入作业类，不能用于估计量级
个人信息词面命中,全语料 1 行（2026搜索）,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,正则 手机号|身份证|家庭住址|电话号码|微信号|qq号|QQ号 的 str.contains().sum()=1
助手头部清洗剔除比例,剔除 141/1000 行（14.1%），但带走原始 PV 的 57.81%,analysis/pooled5/work/教育/composition.csv,composition.csv source=assistant_top 行的 drop_%=14.1、pv_drop_%=57.811
助手头部各剔除层,S1_system_repeated 46 / S4_suggested_chip 40 / C1_content_free 37 / S2_system_template 16 / S5_headline 2,analysis/pooled5/work/教育/cleaning_removed.csv,筛 source=assistant_top，共 141 行
助手随机无可用流量口径,清洗前 pv_raw 合计 1231，清洗后 970 行合计 1199，逐行中位数为 1,analysis/pooled5/work/教育/composition.csv,composition.csv source=assistant_random 的 pv_raw=1231（原始 1000 行）；parquet 中该来源 970 行 pv_raw.sum()=1199、median()=1.0
搜索两快照的清洗剔除极小,2025 剔 11 行(0.11%) / 2026 剔 18 行(0.18%)，均为 C1_content_free,analysis/pooled5/work/教育/composition.csv + analysis/pooled5/work/教育/cleaning_removed.csv,composition.csv 的 drop_% 与 cleaning_removed.csv 的 tier 列
搜索快照已去重,2026搜索 9981 行中 9980 个不同串（1 条重复）；各类的 distinct 等于 n,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet + analysis/pooled5/work/教育/concentration_td_l1_name.csv,df[df.source=='2026search']['query'].nunique()=9980；concentration 表中 2026search 各行 distinct==n
运行内 drift 文档比的是界面不是时间,"runs/edu-pool5/gen01 的 snapshots=[AI助手, 搜索]，两层共有 query 170 条、Jaccard 0.0114",runs/edu-pool5/gen01/drift_analysis.json,drift_analysis.json['snapshots'] 与 ['query_churn']；因此该文档的「快照」轴是界面，时间对比只能用 pooled5 的 diffs_*/contrast_summary_* 表
